# L_m H_m fuel_kg V_kmh
2186.73 531.982 743.669 459.153
2193.11 531.975 745.51 459.485
2199.49 531.967 747.351 459.818
2205.88 531.959 749.192 460.15
2212.27 531.951 751.033 460.483
2218.67 531.943 752.873 460.815
2225.07 531.935 754.714 461.147
2231.48 531.927 756.555 461.479
2237.89 531.919 758.396 461.811
2244.31 531.911 760.237 462.142
2250.73 531.904 762.078 462.474
2257.16 531.896 763.919 462.806
2263.59 531.888 765.759 463.137
2270.02 531.88 767.6 463.468
2276.46 531.872 769.441 463.8
2282.9 531.864 771.282 464.131
2289.35 531.857 773.123 464.462
2295.81 531.849 774.964 464.792
2302.26 531.841 776.805 465.123
2308.73 531.833 778.645 465.454
2315.19 531.825 780.486 465.784
2321.66 531.818 782.327 466.115
2328.14 531.81 784.168 466.445
2334.62 531.802 786.009 466.775
2341.11 531.794 787.85 467.105
2347.6 531.786 789.69 467.435
2354.09 531.779 791.531 467.765
2360.59 531.771 793.372 468.095
2367.09 531.763 795.213 468.425
2373.6 531.755 797.054 468.754
2380.11 531.748 798.895 469.084
2386.63 531.74 800.735 469.413
2393.15 531.732 802.576 469.742
2399.68 531.725 804.417 470.071
2406.21 531.717 806.258 470.4
2412.75 531.709 808.099 470.729
2419.29 531.701 809.94 471.058
2425.83 531.694 811.78 471.386
2432.38 531.686 813.621 471.715
2438.93 531.678 815.462 472.043
2445.49 531.671 817.303 472.372
2452.06 531.663 819.144 472.7
2458.62 531.655 820.985 473.028
2465.2 531.648 822.825 473.356
2471.77 531.64 824.666 473.684
2478.35 531.632 826.507 474.012
2484.94 531.625 828.348 474.339
2491.53 531.617 830.189 474.667
2498.12 531.61 832.029 474.994
2504.72 531.602 833.87 475.321
2511.33 531.594 835.711 475.649
2517.94 531.587 837.552 475.976
2524.55 531.579 839.393 476.303
2531.17 531.572 841.234 476.629
2537.79 531.564 843.074 476.956
2544.42 531.556 844.915 477.283
2551.05 531.549 846.756 477.609
2557.68 531.541 848.597 477.936
2564.32 531.534 850.438 478.262
2570.97 531.526 852.278 478.588
2577.62 531.519 854.119 478.914
2584.27 531.511 855.96 479.24
2590.93 531.504 857.801 479.566
2597.59 531.496 859.642 479.892
2604.26 531.488 861.482 480.217
2610.93 531.481 863.323 480.543
2617.61 531.473 865.164 480.868
2624.29 531.466 867.005 481.193
2630.97 531.458 868.846 481.519
2637.66 531.451 870.687 481.844
2644.36 531.444 872.527 482.168
2651.06 531.436 874.368 482.493
2657.76 531.429 876.209 482.818
2664.47 531.421 878.05 483.143
2671.18 531.414 879.891 483.467
2677.9 531.406 881.731 483.791
2684.62 531.399 883.572 484.116
2691.35 531.391 885.413 484.44
2698.08 531.384 887.254 484.764
2704.81 531.376 889.094 485.088
2711.55 531.369 890.935 485.411
2718.3 531.362 892.776 485.735
2725.04 531.354 894.617 486.059
2731.8 531.347 896.458 486.382
2738.56 531.339 898.298 486.705
2745.32 531.332 900.139 487.029
2752.08 531.325 901.98 487.352
2758.85 531.317 903.821 487.675
2765.63 531.31 905.662 487.998
